"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","âˆšx (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"0","49.21298270071069","103.88677660960633","0","0","0.11270000000000002","0.11140000000000005","0.114","1560","0.0005166549159327899","0","0.0005166549159327899","0.0005166549159327899","0_15:0.0026123308290777747;0_1:0.003225481753705156","0_15:68;0_1:68","true"
"1","69.39447079560806","72.32471634442058","0","0","0.03869999999999996","0.0474","0.030000000000000027","1560","0.0002669268480065574","0","0.0002669268480065574","0.0002669268480065574","1_2:0.0037897415691682534;1_0:0.003225481753705156","1_2:68;1_0:68","true"
"2","200.33210219659762","77.76871920610137","0","0","0.02499999999999991","0.027599999999999958","0.0224","1560","0.00050391342180227","0","0.00050391342180227","0.00050391342180227","2_3:0.0024668517704545256;2_1:0.0037897415691682534","2_3:68;2_1:68","true"
"3","79.0487417755101","117.2697558588814","0","0","0.01859999999999995","0.0228","0.014399999999999968","1560","0.00030153008766101977","0","0.00030153008766101977","0.00030153008766101977","3_2:0.0024668517704545256;3_4:0.003355202496062998","3_2:68;3_4:68","true"
"4","160.28832099050257","207.4737001694824","0","0","0.03249999999999997","0.03939999999999999","0.0256","1560","0.0003211723275239105","0","0.0003211723275239105","0.0003211723275239105","4_16:0.002779270004129114;4_3:0.003355202496062998;4_5:0.002827245856720312","4_16:80;4_3:68;4_5:68","true"
"5","219.78804014276793","211.0793541820189","0","0","0.014899999999999913","0.0214","0.008399999999999963","1560","0.00040370473124484913","0","0.00040370473124484913","0.00040370473124484913","5_6:0.0027905057798223165;5_4:0.002827245856720312","5_6:68;5_4:68","true"
"6","41.21149284935189","85.07642000453525","0","0","0.014000000000000012","0.0242","0.0038","1560","0.0004265830725932156","0","0.0004265830725932156","0.0004265830725932156","6_7:0.012123511841071466;6_5:0.0027905057798223165","6_7:68;6_5:68","true"
"7","137.77017310090145","113.89735199364647","0","0","0.01529999999999998","0.0236","0.007000000000000006","1560","0.0014604682742497272","0","0.0014604682742497272","0.0014604682742497272","7_6:0.012123511841071466;7_8:0.010776530295419307","7_6:68;7_8:68","true"
"8","196.9123945538231","242.249073579541","0","0","0.018899999999999917","0.0166","0.021199999999999997","1560","0.0002700228244018866","0","0.0002700228244018866","0.0002700228244018866","8_17:0.002309523044959766;8_7:0.010776530295419307;8_9:0.004216159697260025","8_17:108;8_7:68;8_9:68","true"
"9","209.4949775629293","155.76767224517354","0","0","0.008599999999999941","0.015599999999999947","0.0016","1560","0.0003329180259205899","0","0.0003329180259205899","0.0003329180259205899","9_10:0.002265255890527479;9_8:0.004216159697260025","9_10:68;9_8:68","true"
"10","198.3884558785245","241.19039226995895","0","0","0.02279999999999993","0.0254","0.020199999999999996","1560","0.00016275523901617352","0","0.00016275523901617352","0.00016275523901617352","10_11:0.10018167364219517;10_9:0.002265255890527479","10_11:68;10_9:68","true"
"11","38.15043953005642","111.82191389047773","0","0","0.09760000000000002","0.18120000000000003","0.014","1560","0.0005266361089049621","0","0.0005266361089049621","0.0005266361089049621","11_10:0.10018167364219517;11_12:0.00392095370813772","11_10:68;11_12:68","true"
"12","260.326080603775","167.40167204171604","0","0","0.012899999999999912","0.011199999999999988","0.0146","1560","0.00011499264544364356","0","0.00011499264544364356","0.00011499264544364356","12_18:0.0030621536348169054;12_13:0.002542945822111342;12_11:0.00392095370813772","12_18:68;12_13:68;12_11:68","true"
"13","236.94057967706615","185.31885060820883","0","0","0.01849999999999996","0.01","0.027000000000000024","1560","0.00019385737107456536","0","0.00019385737107456536","0.00019385737107456536","13_14:0.0024977206105385175;13_12:0.002542945822111342","13_14:68;13_12:68","true"
"14","230.2646157200034","121.66224955694926","0","0","0.02279999999999993","0.0144","0.031200000000000006","1560","0.00031532969683670156","0","0.00031532969683670156","0.00031532969683670156","14_13:0.0024977206105385175","14_13:68","true"
"15","179.44412512653932","39.809819041416844","0","0","0.0045999999999999375","0.006199999999999983","0.003","1560","0.0013419096966084871","0","0.0013419096966084871","0.0013419096966084871","15_19:0.0032854827952824572;15_0:0.0026123308290777747","15_19:80;15_0:68","true"
"16","163.08331414500586","180.3205775102737","0","0","0.023499999999999965","0.0256","0.021399999999999975","1560","0.0001907266121380141","0","0.0001907266121380141","0.0001907266121380141","16_23:0.0037589756063588498;16_4:0.002779270004129114","16_23:184;16_4:80","true"
"17","111.50294480972515","73.946631774033","0","0","0.006799999999999917","0.008399999999999963","0.0052","1560","0.00046966807737212354","0","0.00046966807737212354","0.00046966807737212354","17_27:0.0030396145207853;17_8:0.002309523044959766","17_27:160;17_8:108","true"
"18","217.7682589210776","225.48276544061292","0","0","0.005900000000000016","0.0096","0.0021999999999999797","1560","0.00023509176742715014","0","0.00023509176742715014","0.00023509176742715014","18_31:0.0027211807923875897;18_12:0.0030621536348169054","18_31:68;18_12:68","true"
"19","137.3665574301985","182.35337503907905","0","0","0.015900000000000025","0.014800000000000035","0.017","1560","0.00039586093283063803","0","0.00039586093283063803","0.00039586093283063803","19_15:0.0032854827952824572;19_20:0.010806182669036185","19_15:80;19_20:108","true"
"20","162.4345912626496","122.28434584815193","0","0","0.008000000000000007","0.0092","0.006800000000000028","1560","0.00023313165898475544","0","0.00023313165898475544","0.00023313165898475544","20_19:0.010806182669036185;20_21:0.05213339234620565","20_19:108;20_21:68","true"
"21","10.062070505681941","7.749538455015978","0","0","0.021666666666666723","0.01666666666666672","0.02666666666666667","1560","0.0032725039061707296","0","0.0032725039061707296","0.0032725039061707296","21_34:0.1053137001127646;21_20:0.05213339234620565;21_22:0.07227811491266822","21_34:68;21_20:68;21_22:68","true"
"22","72.67217793606997","105.19130592515627","0","0","0.023700000000000054","0.023399999999999976","0.024","1560","0.0005566493687891548","0","0.0005566493687891548","0.0005566493687891548","22_23:0.005528004765313371;22_21:0.07227811491266822","22_23:68;22_21:68","true"
"23","44.385883024442045","58.974723754276454","0","0","0.08489999999999998","0.09240000000000004","0.0774","1560","0.00023977417500536743","0","0.00023977417500536743","0.00023977417500536743","23_16:0.0037589756063588498;23_22:0.005528004765313371;23_24:0.005867894501022736","23_16:184;23_22:68;23_24:68","true"
"24","14.704051226382049","14.658800049126071","0","0","0.11749999999999994","0.1112","0.12380000000000002","1560","0.0006428871839209655","0","0.0006428871839209655","0.0006428871839209655","24_23:0.005867894501022736;24_25:0.006341895269120518","24_23:68;24_25:68","true"
"25","115.27059879603046","153.3125291030948","0","0","0.08979999999999999","0.10360000000000003","0.076","1560","0.0004638820000435051","0","0.0004638820000435051","0.0004638820000435051","25_35:0.0025278557295121684;25_26:0.0022865484632781097;25_24:0.006341895269120518","25_35:108;25_26:68;25_24:68","true"
"26","235.39689528534004","202.323452937824","0","0","0.05170000000000008","0.0532","0.05020000000000002","1560","0.00021179154077413475","0","0.00021179154077413475","0.00021179154077413475","26_27:0.0022297369382903443;26_25:0.0022865484632781097","26_27:68;26_25:68","true"
"27","99.69425205902621","86.5888048068678","0","0","0.02980000000000005","0.029000000000000026","0.0306","1560","0.00027716853513731684","0","0.00027716853513731684","0.00027716853513731684","27_17:0.0030396145207853;27_26:0.0022297369382903443;27_28:0.005055472975620978","27_17:160;27_26:68;27_28:80","true"
"28","156.04623915237315","146.54209542368224","0","0","0.0052000000000000934","0.0076","0.0028000000000000247","1560","0.00027813504408492033","0","0.00027813504408492033","0.00027813504408492033","28_27:0.005055472975620978;28_29:0.00523755025335626","28_27:80;28_29:116","true"
"29","130.01153967252253","123.15339055969875","0","0","0.006099999999999994","0.010000000000000009","0.0022","1560","0.00025565596135110205","0","0.00025565596135110205","0.00025565596135110205","29_36:0.002447054347138322;29_30:0.002173446450305816;29_28:0.00523755025335626","29_36:68;29_30:68;29_28:116","true"
"30","97.0429128928285","109.2854660894447","0","0","0.0040999999999999925","0.0044","0.0038000000000000256","1560","0.0002895867086899425","0","0.0002895867086899425","0.0002895867086899425","30_31:0.0021520411500819125;30_29:0.002173446450305816","30_31:68;30_29:68","true"
"31","138.463327421749","197.6593218416586","0","0","0.009099999999999997","0.010000000000000009","0.0082","1560","0.00016700243630601622","0","0.00016700243630601622","0.00016700243630601622","31_18:0.0027211807923875897;31_30:0.0021520411500819125;31_32:0.008745899028511084","31_18:68;31_30:68;31_32:68","true"
"32","123.80448254841352","82.67329833792327","0","0","0.06359999999999999","0.1074","0.01980000000000004","1560","0.002647987722369889","0","0.002647987722369889","0.002647987722369889","32_31:0.008745899028511084;32_33:0.007306567570511596","32_31:68;32_33:68","true"
"33","206.5807306185203","103.81315218735374","0","0","0.031100000000000017","0.0242","0.038000000000000034","1560","0.00037346237649553215","0","0.00037346237649553215","0.00037346237649553215","33_37:0.0018912792475739848;33_32:0.007306567570511596","33_37:88;33_32:68","true"
"34","207.8678209506551","95.18873273344018","0","0","0.021666666666666723","0.03","0.013333333333333308","1560","0.0002812493633257221","0","0.0002812493633257221","0.0002812493633257221","34_40:0.028586617878283288;34_21:0.1053137001127646","34_40:96;34_21:68","true"
"35","196.3605473842642","138.7257675092165","0","0","0.007299999999999973","0.0074","0.007199999999999984","1560","0.0003215714597437247","0","0.0003215714597437247","0.0003215714597437247","35_44:0.0025199122945220864;35_25:0.0025278557295121684","35_44:108;35_25:108","true"
"36","56.5179291557124","84.23631492507995","0","0","0.008199999999999985","0.0134","0.0030000000000000027","1560","0.0005137550722844627","0","0.0005137550722844627","0.0005137550722844627","36_48:0.006329051232344007;36_29:0.002447054347138322","36_48:68;36_29:68","true"
"37","160.93233325949106","91.10855911207369","0","0","0.005099999999999993","0.005800000000000027","0.0044","1560","0.00025995380786671715","0","0.00025995380786671715","0.00025995380786671715","37_52:0.0017634496684301448;37_33:0.0018912792475739848","37_52:104;37_33:88","true"
"38","171.79321352877793","135.85220032032646","0","0","0.05449999999999999","0.0464","0.06259999999999999","1560","0.0003197654560425433","0","0.0003197654560425433","0.0003197654560425433","38_53:0.006148207595690347;38_39:0.0021756723679405288","38_53:68;38_39:68","true"
"39","148.01710417585147","147.2909624320554","0","0","0.026999999999999913","0.0274","0.026599999999999957","1560","0.00019011873965609554","0","0.00019011873965609554","0.00019011873965609554","39_40:0.01864951483136751;39_38:0.0021756723679405288","39_40:68;39_38:68","true"
"40","71.35588044586743","101.23698184164338","0","0","0.012199999999999989","0.01859999999999995","0.0058","1560","0.0012173687950906027","0","0.0012173687950906027","0.0012173687950906027","40_34:0.028586617878283288;40_41:0.014848324104397292;40_39:0.01864951483136751","40_34:96;40_41:68;40_39:68","true"
"41","60.49252118237421","59.745683699254116","0","0","0.019199999999999995","0.02959999999999996","0.0088","1560","0.0019744443042276696","0","0.0019744443042276696","0.0019744443042276696","41_40:0.014848324104397292;41_42:0.0038587874496223695","41_40:68;41_42:68","true"
"42","191.09140720583875","163.4301923088458","0","0","0.14890000000000003","0.15359999999999996","0.1442","1560","0.00024910767252787837","0","0.00024910767252787837","0.00024910767252787837","42_54:0.0019542667996847174;42_41:0.0038587874496223695;42_43:0.0017753323489782258","42_54:80;42_41:68;42_43:68","true"
"43","18.84241180233079","32.809391866579524","0","0","0.009300000000000086","0.01","0.008600000000000052","1560","0.00021991086006322596","0","0.00021991086006322596","0.00021991086006322596","43_44:0.0026295732403266436;43_42:0.0017753323489782258","43_44:68;43_42:68","true"
"44","190.42558980266784","232.62330926144705","0","0","0.018199999999999994","0.0168","0.01959999999999995","1560","0.0001937119550084473","0","0.0001937119550084473","0.0001937119550084473","44_35:0.0025199122945220864;44_45:0.0033097676707908863;44_43:0.0026295732403266436","44_35:108;44_45:68;44_43:68","true"
"45","47.389164263849004","75.29291189433631","0","0","0.009000000000000008","0.014","0.0040000000000000036","1560","0.00036326296080134484","0","0.00036326296080134484","0.00036326296080134484","45_44:0.0033097676707908863;45_46:0.005144446654666207","45_44:68;45_46:68","true"
"46","187.7121675531551","186.26767336739306","0","0","0.0351999999999999","0.03979999999999995","0.0306","1560","0.00017099489008018785","0","0.00017099489008018785","0.00017099489008018785","46_55:0.002820455191354765;46_45:0.005144446654666207;46_47:0.00374846512027438","46_55:68;46_45:68;46_47:68","true"
"47","203.52122440945288","64.1858130631254","0","0","0.009199999999999986","0.01319999999999999","0.0052","1560","0.0003791727225694493","0","0.0003791727225694493","0.0003791727225694493","47_48:0.002552604230921046;47_46:0.00374846512027438","47_48:68;47_46:68","true"
"48","159.75744934270944","295.36535021105266","0","0","0.01100000000000001","0.0132","0.00880000000000003","1560","0.0001922347491809704","0","0.0001922347491809704","0.0001922347491809704","48_36:0.006329051232344007;48_49:0.0027958811439230125;48_47:0.002552604230921046","48_36:68;48_49:68;48_47:68","true"
"49","185.65008279096767","128.8609707258157","0","0","0.01419999999999999","0.0174","0.01100000000000001","1560","0.00025550700020736085","0","0.00025550700020736085","0.00025550700020736085","49_48:0.0027958811439230125;49_50:0.0027654984482267386","49_48:68;49_50:68","true"
"50","206.94863552281612","242.81595671161523","0","0","0.04039999999999999","0.02180000000000004","0.059","1560","0.00046447628815814504","0","0.00046447628815814504","0.00046447628815814504","50_56:0.002343939377259574;50_49:0.0027654984482267386;50_51:0.002114856010866001","50_56:68;50_49:68;50_51:68","true"
"51","287.29208279333386","158.07323725851438","0","0","0.005600000000000049","0.007","0.0041999999999999815","1560","0.00024746500269092213","0","0.00024746500269092213","0.00024746500269092213","51_52:0.0019339481565878447;51_50:0.002114856010866001","51_52:68;51_50:68","true"
"52","197.24597379354933","372.1903223136958","0","0","0.01649999999999996","0.009199999999999986","0.0238","1560","0.00015647805482058298","0","0.00015647805482058298","0.00015647805482058298","52_37:0.0017634496684301448;52_51:0.0019339481565878447","52_37:104;52_51:68","true"
"53","63.043407231419614","54.435118277370876","0","0","0.012499999999999956","0.0208","0.0041999999999999815","1560","0.0018359175682749263","0","0.0018359175682749263","0.0018359175682749263","53_57:0.00565625728832711;53_38:0.006148207595690347","53_57:108;53_38:68","true"
"54","192.83621532533758","173.92514561188523","0","0","0.005299999999999971","0.0082","0.0023999999999999577","1560","0.00020993305995988863","0","0.00020993305995988863","0.00020993305995988863","54_61:0.0085868400001064;54_42:0.0019542667996847174","54_61:152;54_42:80","true"
"55","209.52428761752535","127.32648685973709","0","0","0.006299999999999972","0.008199999999999985","0.0044","1560","0.00024753773318570354","0","0.00024753773318570354","0.00024753773318570354","55_65:0.003107605900963456;55_46:0.002820455191354765","55_65:120;55_46:68","true"
"56","258.1198340756651","170.96010246080453","0","0","0.007900000000000018","0.009","0.006800000000000028","1560","0.0002498198065577719","0","0.0002498198065577719","0.0002498198065577719","56_69:0.004284462786515869;56_50:0.002343939377259574","56_69:160;56_50:68","true"
"57","136.8609934362549","169.1883451476463","0","0","0.012700000000000045","0.015800000000000036","0.0096","1560","0.00047274994779019746","0","0.00047274994779019746","0.00047274994779019746","57_53:0.00565625728832711;57_58:0.0017907247489247768","57_53:108;57_58:68","true"
"58","146.2640170529985","178.38363334230988","0","0","0.013800000000000034","0.0182","0.009399999999999964","1560","0.0002828304357906888","0","0.0002828304357906888","0.0002828304357906888","58_57:0.0017907247489247768;58_59:0.002693675755633007","58_57:68;58_59:68","true"
"59","105.25767579374303","110.82380896612224","0","0","0.021500000000000075","0.027200000000000002","0.0158","1560","0.0004015113963888874","0","0.0004015113963888874","0.0004015113963888874","59_72:0.002551865911377793;59_60:0.0022921855616872266;59_58:0.002693675755633007","59_72:68;59_60:68;59_58:68","true"
"60","183.53096354156241","227.24533904061312","0","0","0.012800000000000034","0.023","0.0026000000000000467","1560","0.0003696265798375029","0","0.0003696265798375029","0.0003696265798375029","60_61:0.0032711679593244725;60_59:0.0022921855616872266","60_61:68;60_59:68","true"
"61","143.68261155572128","190.64305110742802","0","0","0.010499999999999954","0.0116","0.009399999999999964","1560","0.00041576093972141076","0","0.00041576093972141076","0.00041576093972141076","61_54:0.0085868400001064;61_60:0.0032711679593244725;61_62:0.007874017478564393","61_54:152;61_60:68;61_62:68","true"
"62","138.58911371980025","132.37120031664637","0","0","0.016100000000000003","0.021","0.011199999999999988","1560","0.0005420351096056809","0","0.0005420351096056809","0.0005420351096056809","62_61:0.007874017478564393;62_63:0.009177987105589647","62_61:68;62_63:164","true"
"63","126.1535711519531","104.41975342021041","0","0","0.04160000000000008","0.0604","0.022800000000000042","1560","0.0007388889946152729","0","0.0007388889946152729","0.0007388889946152729","63_73:0.0028630987830358945;63_64:0.002355373512586606;63_62:0.009177987105589647","63_73:88;63_64:68;63_62:164","true"
"64","258.10235487175265","129.55634366612466","0","0","0.011800000000000033","0.0138","0.009800000000000031","1560","0.00015812899657054126","0","0.00015812899657054126","0.00015812899657054126","64_65:0.0016123658985614797;64_63:0.002355373512586606","64_65:68;64_63:68","true"
"65","133.13133424228107","131.66097511053493","0","0","0.008599999999999941","0.009800000000000031","0.0074","1560","0.00021945677735460807","0","0.00021945677735460807","0.00021945677735460807","65_55:0.003107605900963456;65_64:0.0016123658985614797;65_66:0.001756908195936241","65_55:120;65_64:68;65_66:68","true"
